author,category,date,excerpt,link,title
Basant Dhital,Student Works,"Oct 24, 2018","Many people go bars to connect, relax, have fun, and meet people. While others go to put an...",https://nycdatascience.com/blog/student-works/best-bars-in-new-york-city/,Best Bars in New York City
Tyler Wilbers,R Shiny,"Oct 22, 2018",The Data All dog owners in New York City are required by law to license their dogs. Through...,https://nycdatascience.com/blog/student-works/which-new-yorkers-are-not-licensing-their-dogs/,Which New Yorkers are not licensing their dogs?
Jennifer Lee,R Shiny,"Oct 22, 2018",Background and Introduction Customer data is becoming extremely appealing to companies in order to make more impactful decisions...,https://nycdatascience.com/blog/student-works/r-visualization/customer-and-product-dashboard/,Customer and Product Dashboard
Denise Sison,Student Works,"Oct 21, 2018",The National Coffee Association National Coffee Drinking Trends (NCDT) report is the coffee industry’s leading survey of US...,https://nycdatascience.com/blog/student-works/spilling-the-beans-on-trade-coffee/,Spilling the Beans on Trade Coffee
Daniel Chen,R,"Oct 20, 2018",Exploratory Visualization and Shiny Project - You will build an interactive Shiny application that can create visual representations...,https://nycdatascience.com/blog/student-works/taiwan-vote-data-project-in-r-shiny/,Taiwan Voting Data
Jiwon Cha,Student Works,"Oct 20, 2018",The Goal - Find best industry to work for There are many factors that are important when choosing...,https://nycdatascience.com/blog/student-works/which-industry-to-work-for/,Which industry to work for?
Emanuel Kamali,Machine Learning,"Oct 9, 2018","Introduction As technology continues to push the bar for information, one area in NYC that's lagging behind is...",https://nycdatascience.com/blog/student-works/predicting-nyc-yellow-cab-taxi-fare/,Predicting NYC Yellow Cab Taxi Fare
Arthur Yu,Student Works,"Aug 13, 2018","Introduction and Motivation      The video game industry earned more than $100 billion in 2017, and is...",https://nycdatascience.com/blog/student-works/analyzing-the-effects-of-game-review-and-price-on-player-ratings-on-gamespot-com/,Analyzing the Effects of Game Review and Price on Player Ratings on Gamespot.com
Erin Dugan,Web Scraping,"Aug 13, 2018","Within 100 miles of New York City, over 8000 dogs are waiting to be adopted today through petfinder.com....",https://nycdatascience.com/blog/student-works/web-scraping/scraping-petfinder-com-for-popular-dog-breeds-and-adoption-trends/,Scraping petfinder.com for Popular Dog Breeds and Adoption Trends
Ariani Herrera,Web Scraping,"Aug 13, 2018","Like most busy people, we spend a lot of time wondering what we are going to make for...",https://nycdatascience.com/blog/student-works/web-scraping/whats-for-dinner/,What's for dinner?
Melanie Uhde,Web Scraping,"Aug 13, 2018",AT A GLANCE Project Type Web Scraping and Data Visualization Project Name Analysis of cyber attacks between 2017...,https://nycdatascience.com/blog/student-works/web-scraping/who-is-next-analysis-of-cyber-attacks-between-2017-and-2018/,Who is next? Analysis of cyber attacks between 2017 and 2018
Silvia Lu,Student Works,"Aug 12, 2018","Take-away Message for future data scientists: Read job descriptions carefully.  Top 5 tools : Python, SQL, R, Excel and...",https://nycdatascience.com/blog/student-works/who-gets-hired-an-outlook-of-the-u-s-data-scientist-job-market-in-2018/,Who gets hired? An outlook of the U.S. Data Scientist Job Market in 2018.
Julie Levine,R,"Aug 12, 2018","The following blog post accompanies this interactive web application, exploring ingredients in cosmetics sold on www.ulta.com. What are...",https://nycdatascience.com/blog/student-works/what-is-beauty-made-of/,What is Beauty Made of?
Susmitha Saripalli,Web Scraping,"Aug 12, 2018",What and Why? Nonograms are logic puzzles that create an image when solved. Originally invented in the 1980's...,https://nycdatascience.com/blog/student-works/web-scraping/scraping-nonograms-to-build-a-solver/,Scraping Nonograms to build a solver using machine learning
Alex Baransky,Student Works,"Aug 13, 2018","A Deluge of Content Over the last two decades, the accessibility of media has increased dramatically. One of...",https://nycdatascience.com/blog/student-works/a-more-informative-approach-to-movie-recommendation/,A More Informative Approach to Movie Recommendation
Xu Huang,R Visualization,"Aug 13, 2018","This is a Web Scraping project for the review of different moving truck rental companies, using Selenium, python...",https://nycdatascience.com/blog/student-works/moving-truck-rental-reviews/,Moving Truck Rental Reviews
Simon Joyce,R Shiny,"Aug 13, 2018","Honda and Toyota. Two of the biggest car companies in the world. On the surface, they are similar...",https://nycdatascience.com/blog/student-works/r-shiny/honda-and-toyota-brands-compared/,Honda and Toyota Brands Compared
Hayley Caddes,Student Works,"Aug 12, 2018","Background With the opioid crisis in full swing, the pharmaceutical industry has been under pressure to bring non-opioid...",https://nycdatascience.com/blog/student-works/non-opioid-analgesics-web-scraping-for-market-analysis/,Non-Opioid Analgesics - Web Scraping for Market Analysis
Will Thurston,Student Works,"Aug 12, 2018","House prices are constantly changing, and if you are in the market for a house, this can be a scary realization!  How are you, an everyday person, supposed to keep up with the growing complexity that is the price valuations of houses?  Luckily...",https://nycdatascience.com/blog/student-works/scraping_zillow/,Scraping Zillow
Elsa Vera,Web Scraping,"Aug 12, 2018",Indeed Web Scraping for International Data   Data Scientist has been named the best job in America according...,https://nycdatascience.com/blog/student-works/web-scraping/global-data-scientist-market-demand-analysis/,Global Data Scientist market demand analysis
Richie Bui,Student Works,"Aug 12, 2018","In today's modern industry, one of the pivotal points in our lives is our smartphone. We spend...",https://nycdatascience.com/blog/student-works/mobile-gaming-apps/,Mobile Gaming Apps
