title,page,link,post.x,shares.x,post.y,shares.y
Building a Worldloppet Recommender App,11,https://nycdatascience.com/blog/student-works/r-shiny/worldloppet-race-reccomender/,It can be less than ideal to travel across the globe and participate in a race that is above (or below) your skill level.After all…Matching racers with host countries can be a serendipitous and enjoyable international experience. So I designed and constructed a recommendation engine to match an individual's preferences to FIS Worldloppet races. Then  to help skiers find a race for the 2018/19 season. Read on to learn more!My first objective was to extract data on the Worldloppet races.  so I extracted the past 5 years of race results data using . This was done anonymously as racer names were not extracted  only the race time and skier nationality. In total over 600000 race results were gathered.Several features could be engineered from this data despite scraping only a few variables. For example I used regular expressions to identify the host country from the race name. This could be compared to the racer’s nationality to get an idea of how many skiers were tourists for a given race or how much a race has grown in popularity. Given the racer’s finish time and the race distance extracted from that page a race speed can be calculated. A limitation of this calculation is that it does not account for why these speeds differ. For example paces could be slower because the course is particularly challenging with major elevation gains. Conversely “faster” races could just be flatter. Nevertheless there appears to be a distribution of median race speed by host country:I envisioned the following scenario: given my own personal preferences for race distance race speed and how many racers I wanted to ski with which Worldloppet race would be a good fit for me? This problem can be solved using a KNN classification approach. I could compare my preferences to those which have already been recorded within the hundreds of thousands of observations (race distance race speed number of racers) from the scraping portion of this project. The next step requires finding consensus of which race (by host country) was a good fit by finding the most similar datapoints to my preferences. The number of neighbors I selected for the model was determined using a grid search and 10fold cross validation. The subset of classic skiers was extraordinarily accurate using this model with a minuscule misclassification rate of 0.001 to identify the host country. Classifying skate skiers represented a more challenging problem as the misclassification rate for the host country was (0.21). This less accurate match suggests that there are more skate skiing results with similar race distances/speeds than the classic races.Coming to this realization was rewarding but I wanted to share it with the broader XC skiing community. So I reimplemented the tuned KNN model in R and deployed it as a webapp using R shiny. . The app asks for your preferred XC style race distance preferred race speed and number of skiers you'd like to race with. Then using the KNN model described above a host country will be recommended. Popups on the host country markers have a link to that race's website. The Worldloppet series is a fantastic way to experience the best XC skiing that the world has to offer. I built a KNNbased recommendation engine for Worldloppet races and deployed it as a web app.I gathered data to build this model by scraping race results from the Worldloppet website and performed feature engineering. I hope that this app will make new suggestions for skiers and will enrich their XC skiing experience.,NA,"Every ski season 20 nations showcase the best cross country (XC) skiing that the world has to offer. Tourists from all over the planet participate in this global series. As the organizers of this series highlight! However one potential entry barrier is the uncertainty of ""race fit."" While Worldloppet is for everyone elite skiers can be in attendance. One area for additional development of the model is to factor in the difficulty of a race. What is the elevation of the race? What is the total elevation gain? Do these characteristics affect race speed? Another consideration is how tourists are defined. My EDA defined tourists in a binary fashion. It would be interesting to consider a weighted value based on distance traveled. In other words which races draw tourists from which countries? These insights and the ones derived from building the app could help Worldloppet personalize marketing strategies to participants by suggesting new races tailored to their preferences.",NA
Observations from TED Talks,11,https://nycdatascience.com/blog/student-works/observations-from-ted-talks/,TED is a notforprofit organization devoted to spreading ideas via short talks. Please see ted.com for more details. The dataset used in this blog was obtained from  The blog analyzes all the talks published from 2006 to 2017. An associate shiny web app for this blog can be found . This blog and the web app aim to (1) understand people's overall engagement with talks and (2) provide recommendations to potential viewers by providing popular talks and relevant ratings. Figures 1 2 and 3 provide insight into people’s level of engagement as demonstrated by the number of views comments and the ratio of comments per ‘1000views’. [Note: the ratios are typically less than 1% for a social media metrics like comments per views. For example a 0.5% comments to views ratio can be considered good for a youtube video (http://tubularinsights.com/3metricsyoutubesuccess/) this ratio translated into 5 comments per 1000 views. Therefore for the analyses in this blog the number of comments are divided by ‘1000 views’. ]  Viewers describe the talks as mostly inspiring informative fascinating persuasive and beautiful. Please see the full list of descriptions in Figure 4. For each talk every one of the 14 descriptions was selected by 0 or more viewers. The box plot shows the votes for all descriptions for all talks. For example: the median for the rating 'inspiring' for a talk was 220 meaning on average 220 people rated a talk as 'inspiring' and half of the talks were rated 'inspiring' by more than 220 people and half of the talks were rated “inspiring” by less than 220 people.   Ken Robinson’s “Do schools kill creativity” has the highest views 47 Million. 24924 people found the talk to be inspiring. The word cloud shows how viewers rated it.Summary:TED talks continue to be well received but the level of viewers' engagement as demonstrated by their comments has steeply gone down in recent years. Analyzing the youtube statistics for these talks can provide additional insight into the questions probed in this blog.,NA,Figure 4.Figure 5. Top three talks for each rating descriptions.Figure 6. Figure 7. The figure shows the greatest percentage of ratings relative to the total number of views for a specific description. Although some of these talks were viewed much lesser times these were best received regarding rankings by viewers. For example 'Building a park in the sky' by Robert Hammond was rated beautiful by the highest % of viewers.,NA
One Disney to rule them all?,11,https://nycdatascience.com/blog/student-works/one-disney-to-rule-them-all/,Disney's acquisitions over the years reinvigorated the company’s force in the film industry. As you can see in the highlighted table below nine out of the 15 highest grossing movies are from Disney. The question is: are they really above average compared to other production companies or those films are just outliers? Do Pixar Marvel and Lucasfilm have a considerable impact on its outcome?Even though many production companies were scraped I selected the top six companies which produced 505 movies for analysis :Doing some basic analysis I discovered missing values on some of the features. The movies that didn't have any box office information were removed from the dataset leaving us with 452 movies. The ones that didn't have the worldwide gross could be implied using the USA gross since the correlation between those variables is around 0.93. Building a simple linear regression model derived the worldwide gross from the USA gross. This model was used to predict 63 missing values.I also created a new variable called net worldwide income to show the difference between the gross and budget amounts.Trying to understand how Disney managed to beat the record of total worldwide gross in 2016 I analyzed their movies over the years considering their subdivisions. From the bubble graphs below we see that many of the Pixar Marvel and Star Wars movies have greatly positively influenced Disney revenue. The size of the bubble shows the difference between the gross and budget to show which had the biggest net return. The link to the dashboard is at the end of the post and can shows interactively what each bubble represents and additional info.In the year 2016 alone we can see that every subdivision from Disney had released a major film. Under Marvel it released and. Pixar released . From Lucasfilm we had Disney Animation had released two additional movies: andMost of the production companies have divisions and subsidiaries. That could be a problem in how they are represented. For some movies IMDB didn't include the parent company in the list of producers. To make up for that Wikipedia can be scraped to gather the parent information of each subdivision for more accurate results.It’s also possible to apply analysis to the distribution of the films over the year and try to extract some insights from there. For example see how each production company makes its yearly planning.Disney has been leading the box office war against other major production companies and it will probably continue to. The indications for 2018 are good for Disney. Two Marvel movies are already in the top 10 box office list ( and ). The movie reached 1 billion dollars in record time (10th day).  (Lucasfilm) is anticipated to open to recordbreaking numbers over Memorial Day. Pixar is releasing the second  movie in summer. And  (Disney Animation) is due at at the end of the year. With such a lineup it’s possible that Disney will beat its own record this year.,NA,To answer those questions I decided to scrap the IMDB website to gather information from movies from 2010 to 2017. For each movie I saved the title year budget worldwide gross USA gross opening weekend gross and genres. I used Scrapy (Python Web Crawling Framework) to achieve that task.The boxplot below shows the distribution of all movies per production company. We can clearly see that Disney has a higher average than the others. Based on the large interquartile range Disney has also more variability than the other production companies. The scatter points on the side of each boxplot indicate that the distributions are rightskewed. For that reason I had to use the BoxCox transformation to perform a hypothesis test. Analysing the result of the test I can conclude that Disney has a statistically significant difference in the average gross than the other big companies.Examining the companies per year we can see that Columbia Pictures had made most movies in the beginning of years analyzed; however later on Warner Bros. and Universal Pictures were alternating the leadership. Even though Disney doesn't have the highest number of films it is the one that has the highest total worldwide gross amount.,NA
Web Scraping Industry Salaries from Glassdoor,11,https://nycdatascience.com/blog/student-works/web-scraping-industry-salaries-from-glassdoor/,My interest in scraping glassdoor is due to the fact that I recently graduated from college. I was interested in seeing industry salaries for popular cities along with their associated ratings.The questions I asked:Using Scrapy my plan was to look up every job posting on Glassdoor.  After viewing each posting I would be able to retrieve information such as the job title the company’s name the estimated salary for the posting rating and industry the job was in.One issue that occurred was my attempt to retrieve information about the company. Even though it was listed in the source code of the website the code that Scrapy looks at to gather information my program was unable to scrape it properly. When attempting to debug my code looking for a solution I found that even though the information on the company was in the source code the website uses JavaScript something that Scrapy does not recognize to get the information from another link.After learning this I searched through the network files that was being transmitted in hopes of finding the source of the JavaScript. I ended up finding a promising file titled “” which contained a request URL. That URL which was the same for every posting except for a string of numbers which was the company ID contained all the information needed for that company.Once I found this separate page which hosted the missing data I was able to scrape the company information successfully.Another problem I encountered was a strange error where my code would break whenever it reached the 31st page of Glassdoor. As I investigated the problem I learned that Glassdoor only provides the first 30 pages for its viewers. Even though it states “30 out of 5277 pages” there is no 31st page (or any page past it)In order to gather enough data I decided to look up 16 different cities across the US and find all the job postings located in those areas. I also discovered a way for my spider to go to the next website programmatically by decoding what each part of the URL meant.After overcoming these two obstacles I was able to scrape all the necessary information from Glassdoor.,NA,The data collection seemed like it was going to be relatively straightforward but there were a few unforeseen problems that I encountered.After scraping for and preprocessing my data I was finally able to visualize the questions I first asked with a further investigation into the results.In this chart I summed the number of job postings in each industry. Looking at the top 3 job posted industries we have Business Services Information Technology and Finance. If we had more data it would be interesting to look at how each industry evolved over the years. For example it would be interesting to look into information technology and see when its inception to mainstream culture occurred.In this graph I averaged all the industry salaries along with the estimated salary low and estimated salary high to provide myself with the highest paying industry. The top five highest mean salary from highest to lowest is Information Technology Finance Manufacturing Construction Repair and Business Services. Again we see Information Technology and Business Services in the top portion of our industry salary.In this graph I was interested in seeing which industry had the most touted rating. It's interesting to see Construction Repair and Real Estate as the first and third highest rated industry. To dig into the data we've just visualized I found out there's a reason as to why those industries are so highly rated.According to  TINYpulse surveys revealed the top three issues standing in the way of happy employees were:In the construction industry a variety of organizations offer coaching and career mentorship to students. Once they’re ready for the workforce the industry has a long history of providing new workers with apprenticeships so they can learn the skills required to move on to tackle more challenging work.After looking at some metrics involving industry I was interested in looking at some states. To begin my search I counted all the number of job postings each popular state offered.California Texas and New York have the largest amount of jobs posted on Glassdoor.Aggregating each states average salary we see that California New York and Illinois have the highest averages.We see that Massachusetts has the highest mean rating followed by Califonia.Now that we've gathered information on industries I was interested in diving into the salaries job postings and ratings per city. The graph below represents cities that are popular amongst the younger workforce.As you can see New York Chicago Los Angeles Houston San Fran... have a large number of job postings. Now to dive a little further I took a look at the average salary.We see here that San Fran San Jose New York and Austin have a high average salary. It's assumed that San Fran New York and San Jose would have a higher average salary as we saw Business Services and Information Technology are the two highest paying industries. For those cities listed before they promote those specific jobs which will indicate the high salary pay. For the city of Austin I dug a little deeper as to whether there's a problem with my dataset. As it turns out Austin is a growing digital city which means there are many job postings for information technology jobs.Coming to a conclusion I was interested to see if their is a linear regression with rating and salary. We see here that there is no relation between salary and rating.,NA
Mapping Real Estate Sales in New York City,12,https://nycdatascience.com/blog/student-works/r-shiny/mapping-real-estate-sales-in-new-york-city/,"The most recent version of this app is accessible online  while its source code may be found .(It follows that its area will be  times the size of . Arguably this may foster a distorted perspective of the underlying price ratio and for that reason a later version of this app may well alter this. On the other hand the substantial difference in relative sizes makes it easy to pick out variations at a glance whereas smaller variations in size would be harder to see without zooming in on smaller areas of the map.)*All references to ""square footage"" here denote  meaning total floor space of a property.",NA,"This app is a visualization tool for examining real estate sales in New York City drawing on data published by the City of New York available . The data which cover the years 20032015 include a range of variables including price size category of building location and date of sale.The app plots sales from this data on a map to facilitate exploring the connections in particular between time location and price. The following screenshot displays a number of its features:As can be seen the main panel of the app consists of a street map of New York City (sourced from the  project) with dots plotted on it in varying sizes. Each of these dots represents a single property sale with blue dots corresponding to residential properties and red ones to nonresidential properties. (Note that ""property"" here is not synonymous with ""building"": many property sales are of single condominium units in large apartment buildings.)The relative size of these dots is set by the second dropdown menu on the lefthand sidebar labeled . By default they are set to a constant size (relative to each other) which is a good format to give an overview of the overall volume and concentrations of sales. Alternatively however their sizes can be set to vary in proportion with some property of the sale. In the illustration above for instance they are scaled by  with larger dots corresponding to greater prices. They can be scaled instead by  or by . In each case the scaling is linear with respect to the dots' diameters: for instance if the scaling is to price then if property  sells for three times as much as property  its dot will have a diameter three times the size of 's. Clicking on a particular dot brings up a popup bubble displaying salient data points about the sale it represents: address date price and square footage. (Note that all of these data points are displayed when one clicks on a dot regardless of whether they are reflected in the dots' scaling.) Clicking again will banish this bubble.The map may be zoomed in or out via the + and  buttons in its top left corner. The area shown can be changed by clicking the map and dragging it as desired. The adjustable 'slider' beneath the map displays the range dates for which sales are plotted. By default this range is set to thirty days beginning with the date of the first sale in the loaded dataset but it can be adjusted by moving the sliding buttons to the endpoints of the date range one is interested in. Alternatively one may click on the slider to the right or left of the selected range which keeps the range at the existing size while 'jumping' it to the point clicked. Finally clicking the play button at the bottom right of the slider causes the selected range to automatically progress from left to right until it has reached the end of the dates available. While this is progressing the button may be clicked again to pause it.At present this app displays only a small fraction of the data available; specifically it displays sales that took place in the Bronx in 2015. (For this reason the top dropdown menu in the left sidebar labeled  offers only Hobson's choice.) However as I update this app I intend to make the rest of the data accessible the same way as well as adding ways to further explore the data. This blog post too shall be updated so check back soon!",NA
NYC restaurants reviews and inspection scores,12,https://nycdatascience.com/blog/student-works/nyc-restaurants-reviews-and-inspection-scores/,If you ever pass outside a restaurant in New York City you’ll notice a prominently displayed letter grade. Since July 2010 the Health Department has required restaurants to post letter grades showing sanitary inspection results. An A grade attests to top marks for health and safety so you can feel secure about eating there. But you don’t necessarily know that you will enjoy the food and experience courteous service. To find that out you’d refer to the restaurant reviews. For this project I looked at a simple data analysis and visualization of the NYC restaurants reviews and inspection scores data to find out if there is any correlation between the two. The data will also show which types of cuisines and which NYC locations tend to attract more ratings.Nowadays business reviews ratings and grades are the decision making for any business to measure for their quality popularity and future success. For restaurants business ratings hygienic and cleanliness are essential. The restaurant ratings and location information used in this project come from Yelp’s API. The inspection data was downloaded from NYC open data . I merge yelp restaurants review data and inspection data and remove NA rows which doesn’t haveThe data shows that an A is the most commonly assigned inspection grade for restaurants of all types in all locations. I plotted various bar plots to visualized the inspection scores and ratings based on borough and cuisine type.With respect to location this borough bar plot shows that MaAs for cuisine types the cuisines plots shows first 15 restaurants with highest number of counts for based on cuisine.  This indicates that the American cuisine has highest number of A grade compared to other. This indicate that american restaurants are focus more on hygienic and cleanliness compare to others type of restaurants. The review plot indicates that most  restaurants do achieve the top rating of 4 stars. Again Manhattan has the highest number of restaurants with ratings four stars while Staten Island has lowest numbers of restaurants with high ratings. It also shows that almost all borough have a low number of  2 star restaurants. Moreover cuisine reviews plot indicates that American cuisine tend to have the highest rating compared to other cuisines. The reasons could be more American restaurants under this category then others. The scatter plots shows theThe cluster map of NYC restaurants helps visualize locations and  to filter the restaurants based cuisine types. The color mark of the point indicates the ratings and includes  descriptions of the featured restaurants. The heat map show the density of the restaurants based on borough selection or cuisine selection. It indicate which area has a greater number of restaurants. This could be helpful for business people to make informed decisions about where to  open new restaurants based on the types of restaurants already in place.Finally this app can be useful for people to filter the data base on borough cuisine  ratings  and inspection grade.  The people want to go to eat with specific criteria can filters the restaurants and visit their favorite restaurants based on top marks for both ratings and inspection grades. The shiny app link is .,NA,  A popular site for reviews Yelp offers many individual ratings for restaurants. The New York City Department of Health and Mental Hygiene (DOHMH) conducts unannounced restaurant inspections annually. They check if the food handling food temperature personal hygiene of workers and vermin control of the restaurants are in  compliance with hygienic standards.. The scoring and grading process can be found.either inspection score or reviews. I also reassigned the inspection score in the grades A B and C category as this measure is widely used and label on restaurants. There were other scores primarily P or Z or some version of grade pending which we are ignoring in our analysis here. Restaurants with a score between 0 and 13 points earn an A those with 14 to 27 points receive a B and those with 28 or more a C.nhattan has highest number of restaurants with all grades compared to others. This is obvious as it has highest number of restaurants in general.  Staten Island has lowest number of restaurants with grades A B and C among all.relationship between inspection score and rating. It indicates that there is no direct clear correlation between two variables. It is fairly common for a  restaurant with a C grade inspection score to achieve a 45 star ratings in a review. Also it is possible to find a number of A grade ratings for restaurants that only have 12 stars.  This could be because so long as food is tasty people will rate the restaurant well because they do not pay very much attentions to cleanliness and hygienic issues. The scatter plots also show that though some  restaurants maintain a very high level of cleanliness and hygienic food conditions they fail to get good ratings which could be due to bad service or less than tasty food . We can do further analysis on both side of  restaurants by analyzing review comments and try to find why some restaurants have good reviews but low inspection score and viceversa. This require further data about reviews comments and further analysis using NLP.,NA
Transactional Cost on High Frequency Trading,12,https://nycdatascience.com/blog/student-works/transactional-cost-on-high-freq-trading/,The orders in the file are generated by different Alpha Engines. Since the final executed prices are given in the data we can directly calculate the PnL for each order by combing corresponding midprices. After grouping order PnL for each engine we may get some insights into the  between AEs in  costs.,NA,"Special thanks to my great teammate Qiang Ji.This research explores two execution approaches i.e  and . In short Market Taking (MT) method allows us to send market order and aggress market immediately with the latest quotes. While Opportunistic Market Making (OMM) method is more risky which will send limit orders and wait under the certain time limit for a more beneficial price to fill the order. More specifically OMM can also be divided into 2 types according to how to set the limit order price: OMMMid will set the midprice as limit price; OMMSide will set a limit price on your side. Undoubtedly different execution methods should have different characteristics.The 3 execution methodologies can be summarized as:It needs to be mentioned that in this report we define **execution PnL** for each order as:

where ExecutedPrice is the price where an order is finally filled; MidPrice is the latest midprice when entering the market and Buy is a signal {11}.Our team also implement some rules for the stop loss and the time out.The code will be on my In this part we will backtest 3 approaches with SL0.00035 and TTE10 and report some statistics in the recapitulating table. In addition to required statistics we also computed **Hitting Ratios**(proportion of positive PnLs) 95VaR and standard deviation of PnL for each method in order to provide a more comprehensive view of the execution performance.By comparing total PnLs of the 3 execution methods we find that:OMMSide > OMMMid > MT
OMMSide has the highest PnL as the result of successfully taking opportunistic executions. Another interesting thing we found is that all the 3 execution methods have a dramatic decline in PnL around 2 AM Jan 11st. At that time market quote happened to have an unexpected widen spread.Since the original numbers of PnL are too small we rescale them by multiplying 1000. As shown in the table PnL of OMMSide is the highest and also volatile. PnL of MT is the lowest but also less risky. As compensation the execution difficulty is also higher if you are seeking higher average PnL. OMMSide tended to have the highest execution time and also be more likely to touch SL or TTE.
We set the TTE to be 10 s constant we enumerate different SL to test its influence on PnL median as well as Execution Time median.differenceexecutionFrom the perspective of execution PnL we find MAR performed a better opportunistic method in execution and got a positive average PnL. On the contrary SOM performed worst since it ordered many times but ended up with lowest average PnL. It seems more times you trade more likely you will suffer a large transaction cost. That is to say average PnL is negatively correlated with trade times.Another common OMM execution method in practice is called ""Fill or Kill"". This approach also sends limit orders. But unlike previous OMM strategies: ""Fill or Kill"" would wait a certain time to see whether limit order could be filled. If time is out and order is not filled then cancel (""kill"") the order. Obviously implementing this strategy all the executed orders should have positive PnL while there also would be some canceled orders leaving NA in the PnL column. We believe it is worthwhile to dig into such a strategy and compare it with the others.",NA
How to prepare for a data science interview,13,https://nycdatascience.com/blog/data-science-news-and-sharing/how-to-prepare-for-a-data-science-interview/,Founded in 2013 the NYC Data Science Academy offers the highest quality in data science and data engineering training. Their toprated and comprehensive curriculum has been developed by industry pioneers using experience from consulting corporate and individual training and is approved and licensed by the NYS Department of Education. The program delivers a combination of lectures and realworld data challenges to its students and is designed specifically around the skills employers are seeking including R Python Hadoop Spark and much more. By the end of the program students complete at least four realworld data science projects to showcase their knowledge to prospective employers. Students also participate in presentations and job interview training to ensure they are prepared for top data science positions in prestigious organizations. For more information visit .,NA,You’ve spent months studying data science now it’s time to find a job in the industry. Fortunately companies all over the world are looking to hire data scientists  and fast. According to  machine learning engineer and data scientist positions grew 9.8x and 6.5x respectively in the past five years. Candidates who are trained will have a bevy of vacancies to choose from when ready to seek out a new position in the field.Though there are many open data science positions the interview process can be rigorous. The technical tests are tough but hiring managers still look for soft skills when hiring candidates as well. The LinkedIn report found that soft skills still matter even for highly technical positions. HR still screens for adaptability leadership and the ability to learn from others when hiring for data scientists.For anyone ready for a data science career or ready to switch jobs here is how to prepare for this interview process. Though not every company is the same this overview provides the general guidelines for what to expect when seeking a data science position.The first stage is a phone call as with any job. The HR manager will call the candidate to screen out anyone that is clearly not a fit. Often this first phone call is not necessarily about technical abilities but rather to see if the candidate can carry on a conversation that he or she understands the businesses and that the potential employee did some research about the company. The HR person taking this call wants to hear your interest in the company as well so ask insightful questions but don’t worry about getting too technical as you’re not on the phone with the chief data officer.The second stage is likely a call with a team member. At a large firm the data scientists might be split up by specialty so the call will be with a midlevel team member with your skill set. At a small firm however data scientists are sparse so you may end up on a call with the CDO sooner rather than later.This call will evaluate both technical and soft skills so be prepared to take on overthephone coding challenges. The interviewer(s) will ask about past experience and will want you to walk them through projects. Furthermore your mathematical statistical coding and analysis skills will be put to the test with pseudoproblems proposed and wellthoughtout answers expected. Interviewers will want to hear your process how you work through problems what additional questions you ask and whether or not you can get the correct answer. Furthermore the interviewer will want to listen to how you deal with a semistressful situation.An option stage that some companies take is an online test; they may send the test after the first or second stage. At times businesses will want to weed out candidates seeking those who can complete the test while letting go of the ones who do not have the technical ability to do so. Usually the tests are timed so companies can discover the most compatible candidates.The next stage is usually onsite. Especially if the candidate is not local the interview might be an allday experience. The onsite interview will likely include a meeting with the head of HR or head of hiring the CDO and a team and/or team members. An additional technical challenge or test could also be administered this day or after the interviews are done.On the technical side the interviewers will throw different scenarios at you and watch you complete the problems. They might also ask you to explain different concepts to a business leader to see how you can take data and translate it for practical use. Those soft skills are fundamental so that the interviewer can see how you’ll fit on the team.Preparation is crucial for data science interviews. If you cannot find interview questions already listed on sites like Glassdoor (for example here are ) review potential technical questions for each level on other  sites to help understand what might be asked. If you worked with a recruiter ask them about the structure of the interview or any preparation/tips they can give provide.To really prepare try spending time on . The site allows users to practice skills in SQL Python R Hadoop and Spark. Candidates can review the over 1000 coding challenges theory problems and case studies to be fully prepared for any type of data science interview.Practice any skills you know you’ll be tested on so that when you perform tasks in front of interviewers your processes are smooth. While there will be a time when you have to sit and think through a problem make sure it’s not one you should know how to do. You will have an idea about which skills the company will test based on the position.Participate in mock interviews to runthrough how you’ll answer basic questions or even how you’ll pause to think about an answer. Some of the technical questions might cause you to stop and think but you want to sound confident and not shaky. If possible talk through scenarios with other data scientists to rehearse questions for the interview.Formulate questions to ask each person during each interview. It’s important the interviewers know you are an enthusiastic and interested candidate that is eager to learn more. Lastly follow up with a thank you note to show your dedication to landing the position. Following these tips and knowing what to expect can help you get a new or first job in data science.,NA
NYC Real Estate Market Visualization,13,https://nycdatascience.com/blog/student-works/nyc-real-estate-market-visualization/,Perhaps you’re curious about the types when I set out visualize the NYC real estate marketcontains sales records dating back to 2003 that are updated a number of the neighborhood features including For frame of reference elevator apartments buildings are the majority of buildings types in Manhattanfor that are its proximity and many office buildingsthe New York City,NA,Did you ever wonder where the most popular neighborhoods are in New York City? Or which neighborhoods are the most expensive? of properties people are buying and their median price? I had these questions in mind The data is found from the NYC Department of Finance Rolling Sales Data.NYC Department of Finance Rolling Sales Data monthly. For this particular project I used sales records from the time period of March 2017 to February 2018. The variables I focused on were Boroughs Neighborhoods Building Types Sales Prices and Sales Date. I also cleaned out all the zero sales prices due to transfer of ownership. In addition I cleaned out tax class 3 and tax class 4 properties that are mostly made up of office buildings gas stations factories etc.For detailed coding and data cleaning process. See my GitHub repository by following this link:https://github.com/phoebezzz/NYCPropertySalesShinyNow that we have our data set with residential property sales for the past 12 month let us discover what it looks like!Here is the link to my Shiny App. Feel free to explore for yourself in any neighborhood or building types that interests you:Mapping out the entire year worth of transactions amount by neighborhood reveals the answer to our first question.Close to 5000 properties were sold during the past 12 months which is 5 times more than Midtown the location in second place with a transaction amount of 1015. That indicates that the Upper East Side is the most sought after in Manhattan by far. This can be due to several reasons from fancy restaurants shopping experiences on Madison Avenue and the proximity to many cultural museums and beautiful Central Park.But what kind of apartments are buyers trying to buy? Let's take a look at the pie chart for sales breakdown by building types:When is the peak season for NYC real estate market? The bar graph will give you a trend analysis through out the year. We can see thatThis makes sense since summer time is the best time for most buyers to go out and explore options without the worry of the cold or possibly the commitment to their children’s school activities.What about price?Possible reasons for  to the action Madison Square Park and 5 Ave. While SoHo is located at the lower side of Manhattan filled with cute boutiques highend shopping and restaurants. Tribeca is slowly turning from its old industrial buildings to residential lofts that are located alongside the Hudson River with many trendy boutiques and restaurants.Why the change? Take a look at the pie chart we find our answer.Now we have take a closer look into  real estate market. What is happening in the other 4 boroughs? I created a heat map for the transactions for all 5 boroughs. The size of the bubbles are according to the sales price.We can see thatnot surprisinglymost of the high sale price transaction still took place in Manhattan especially around Central Park and downtown. But some neighborhoods in other boroughs are on the rise. As in Williamsburg in Brooklyn and Long Island City/Flushing in Queens.  Large sales are also taking place in Bronx.You can check all the detail records and filter by boroughs and sales price range on the data table on the third tab.There is still so much that can be done with this data set and a lot more to find. In the future I will like to enhance the apps to explore additional aspect including:,NA
Machine Learning Techniques for Predicting House Prices,14,https://nycdatascience.com/blog/student-works/machine-learning-techniques-for-predicting-house-prices/,"By Weijie Deng Han Wang Chima Okwuoha and Shiva PanickerFor decades the American Dream has been defined by the pursuit of home ownership and in 2017 Zillow reported that the median value of U.S. homes hit a record high of $200000. Housing prices are determined by a slew of factors; some quantifiable and some not. Being able to isolate the best factors for predicting housing prices has a clear use for realestate investors as well as individuals looking to move into a new home. In this project we used compared and stacked multiple machine learning algorithms to predict housing prices in Ames Iowa. The data set included 80 variables each that have a varying impact on the final housing price. The variables included details about the lot/land location age basement roof garage kitchen room/bathroom utilities appearance and external features (e.g. pools porches etc.).The data frame provided was relatively clean which allowed us to focus on making the variables compatible with our models.After looking at the Sale Price feature we saw that it did not follow a normal distribution so we decided to transform it to better represent a normal distribution. The transformation we used was a logarithmic transformation of the form log(price + 1). After transforming the sale price we noticed several numeric features were not normally distributed. This was problematic as certain linear models are based on the assumption that predictors are normally distributed and violating these assumptions could negatively affect the linear model thus making predictions inaccurate. To fix this we decided to skew those with degrees of skewness larger than 0.75. We filtered the following features to be skewed which were '1stFlrSF' '2ndFlrSF' '3SsnPorch' 'BsmtFinSF1' 'BsmtFinSF2'  'BsmtHalfBath' 'BsmtUnfSF' 'EnclosedPorch' 'GrLivArea' ‘'KitchenAbvGr' 'LotArea' 'LotFrontage' 'LowQualFinSF' 'MasVnrArea'  'MiscVal' 'OpenPorchSF' 'PoolArea' 'ScreenPorch' 'TotRmsAbvGrd' 'TotalBsmtSF' 'WoodDeckSF'. We use the same logarithmic transformation log(x + 1) to make the features normally distributed.Now we had to figure out a way to deal with the ordinal features and categorical features.For the ordinal features we read in the descriptive text to extract those features so that we could turn them into numeric features. We fed them into a dictionary and applied them to columns.For categorical features we had tried both onehot encoding and label encoding. In linear models and random forest dummification had better performance than label encoding. So we use onehot encoding to handle all the categorical features. Onehot encoding will turn all the items in one predictor into a new column in which 1 means True and 0 means False and delete one item to make it obey the linear model assumption.We used cross validation to find the best parameters for a  gradient boosting regression. These parameters were learning_rate  0.04 max_features'sqrt'n_estimators500 max_depth4subsample0.7min_samples_split  10min_samples_leaf 2.The following graph is of the top 30 variable importance. The top two most important variables are ""Fence"" and ""Full Bathroom."" However there is a limitation that when using dummified data to fit tree models they will usually be misleading and have incorrect answers.Although the RMSE of gradient boosting is 0.118 the RMSE on Kaggle is 0.166. This model has a very serious overfitting problem. We considered the problem should result from the tree model.",NA, The graph below shows the features that have a strong linear correlation to each other. Linear features follow the line of best fit such as in the case of case of overall quality predicting sale price. For those colored in red we can delete one of those two having high correlations. Through this graph we can easily tell which features have the highest correlation with each other.The decision to implement a support vector regression was based on the fact that our data was very sparse and was of high dimensionality. Support vector regressions actually perform well in high dimensional scenarios mainly because in higher dimensions it's easier to construct a hyperplane which splits the data nicely.To implement the SVR we used a builtin SVR function in the sklearn module (from sklearn.svm import SVR). SVR is a computationally demanding model with nonlinear kernels being more demanding than the linear kernel so in the interest of time we chose to go with the linear kernel for our support vector regression. We set our epsilon to be 0.1 and applied a grid search crossvalidation to select the best performing model.To our surprise SVR had the lowest performing test score out of all the models with an RMSE of 0.14602. At first we thought this was due to a poor choice of kernel and epsilonwe thought a nonlinear kernel would perform better than the linear kernel we chose to go with. Ultimately though the low score was mainly attributed to size of our training set. While support vector regressions perform well on high dimensional data sets they also require a large number of samples to train on. With our data being very sparse after encoding and having a dimension of approximately 1500x250 the support vector regression did not perform as well as the other models we used.a. Data cleaning is arguably the most important and most time consuming taskb. Give a hypothesis of which simple model may work best on the given datac. Implement the simple modeld. UNDERSTAND the model and why it gave the output it dide. Update hypothesis and repeat (2),NA
